city,category,average_rating,min_rating,max_rating
Abilene,"Electronic accessories",8,7.1,8.8
Abilene,"Fashion accessories",6.2,4,9
Abilene,"Food and beverages",7,6,8.9
Abilene,"Health and beauty",9.7,9.7,9.7
Abilene,"Home and lifestyle",6.1,4,9
Alamo,"Fashion accessories",6.9,3,9
Alamo,"Food and beverages",5.2,5.2,5.2
Alamo,"Health and beauty",8,7.7,8.2
Alamo,"Home and lifestyle",6.3,3,9
Alamo,"Sports and travel",7.3,5,10
Alice,"Electronic accessories",7.3,7.3,7.3
Alice,"Fashion accessories",5.9,3,9
Alice,"Food and beverages",7.7,5,9.2
Alice,"Home and lifestyle",6,4,9
Alice,"Sports and travel",6.9,6.5,7.9
Allen,"Electronic accessories",6.4,6.4,6.4
Allen,"Fashion accessories",6.6,3,9
Allen,"Food and beverages",5.6,5.6,5.6
Allen,"Health and beauty",5.9,4.4,7.2
Allen,"Home and lifestyle",6.2,4,9
Allen,"Sports and travel",5.5,5.5,5.5
Amarillo,"Electronic accessories",6.8,5.2,7.8
Amarillo,"Fashion accessories",6.7,3,9
Amarillo,"Health and beauty",5.1,5.1,5.1
Amarillo,"Home and lifestyle",6.4,3,9
Angleton,"Electronic accessories",7.6,5.1,10
Angleton,"Fashion accessories",6.1,4,8
Angleton,"Food and beverages",7.7,6.9,8.5
Angleton,"Health and beauty",5.1,5.1,5.1
Angleton,"Home and lifestyle",6.4,3,9.8
Angleton,"Sports and travel",6.7,4.4,9.7
Arlington,"Electronic accessories",5.2,4.7,5.5
Arlington,"Fashion accessories",6.2,3,9
Arlington,"Food and beverages",7.6,5.5,9.6
Arlington,"Home and lifestyle",6.3,3,9
Arlington,"Sports and travel",5.4,4.6,6.2
Austin,"Electronic accessories",5.5,5.5,5.5
Austin,"Fashion accessories",7.2,4,9
Austin,"Food and beverages",9.3,9.3,9.3
Austin,"Health and beauty",6.6,6.6,6.6
Austin,"Home and lifestyle",6.8,4,9
Baytown,"Fashion accessories",6.1,3,9.5
Baytown,"Health and beauty",5,5,5
Baytown,"Home and lifestyle",6.4,4,9
Baytown,"Sports and travel",6.4,4,8.9
Bedford,"Electronic accessories",6,6,6
Bedford,"Fashion accessories",5.9,3,9
Bedford,"Food and beverages",5,4.5,5.6
Bedford,"Health and beauty",8.2,6.1,9.3
Bedford,"Home and lifestyle",6.8,4,9
"Big Spring","Electronic accessories",6.2,5.1,8
"Big Spring","Fashion accessories",6.5,4,9
"Big Spring","Health and beauty",7.7,6,8.4
"Big Spring","Home and lifestyle",6.2,3,9
"Big Spring","Sports and travel",7.3,6.8,8
Brownsville,"Electronic accessories",7.1,5,9.5
Brownsville,"Fashion accessories",6.5,3,9
Brownsville,"Health and beauty",7.3,6.2,8.4
Brownsville,"Home and lifestyle",6.4,3,9
Brownsville,"Sports and travel",9.1,9,9.2
Brownwood,"Fashion accessories",6.3,3,9
Brownwood,"Food and beverages",7.8,6.4,9.2
Brownwood,"Home and lifestyle",6.3,4,9
Brownwood,"Sports and travel",8.1,5.1,9.9
Bryan,"Electronic accessories",7.2,6.1,8.2
Bryan,"Fashion accessories",6.8,4,9.9
Bryan,"Food and beverages",6.6,4.5,9.1
