branch,total_revenue,avg_rating,revenue_rank,rating_rank
WALM058,22614,5.25,1,21
WALM009,22275,5.26,2,22
WALM030,20751,5.3,3,25
WALM084,20466,5.26,4,22
WALM069,19696,5.28,5,24
WALM074,19580,4.99,6,3
WALM029,19350,5.11,7,12
WALM046,18493,5.16,8,14
WALM038,18181,5.18,9,15
WALM003,18177,5.22,10,17
WALM082,17985,5.1,11,11
WALM075,17918,4.92,12,2
WALM054,17865,5.01,13,5
WALM055,17556,5.05,14,7
WALM089,17503,5.2,15,16
WALM065,17437,5,16,4
WALM032,17013,5.22,17,17
WALM087,16832,5.07,18,9
WALM035,16661,5.11,19,12
WALM073,16037,5.23,20,20
WALM086,16016,5.05,21,7
WALM056,15606,4.86,22,1
WALM099,15555,5.04,23,6
WALM050,15543,5.07,24,9
WALM025,13251,5.22,25,17
