branch,revenue_2020,revenue_2023,absolute_growth,growth_pct
WALM014,418,2017,1599,382.54
WALM092,213,1026,813,381.69
WALM039,367,1685,1318,359.13
WALM027,718,2873,2155,300.14
WALM063,737,2194,1457,197.69
WALM007,979,2547,1568,160.16
WALM049,990,2129,1139,115.05
WALM033,436,931,495,113.53
WALM068,820,1696,876,106.83
WALM093,622,1263,641,103.05
WALM060,1260,2548,1288,102.22
WALM071,716,1399,683,95.39
WALM026,1111,2027,916,82.45
WALM016,921,1667,746,81
WALM018,773,1376,603,78.01
WALM002,937,1572,635,67.77
WALM021,962,1610,648,67.36
WALM012,1350,2194,844,62.52
WALM077,1160,1884,724,62.41
WALM008,1510,2445,935,61.92
WALM035,3316,5262,1946,58.69
WALM072,1207,1785,578,47.89
WALM015,1825,2600,775,42.47
WALM010,1498,2114,616,41.12
WALM028,1277,1799,522,40.88
WALM096,1606,2255,649,40.41
WALM017,1679,2332,653,38.89
WALM070,1033,1413,380,36.79
WALM057,1147,1557,410,35.75
WALM082,3704,4974,1270,34.29
WALM011,1187,1557,370,31.17
WALM037,974,1255,281,28.85
WALM005,1683,2152,469,27.87
WALM038,4647,5900,1253,26.96
WALM079,1395,1770,375,26.88
WALM040,1414,1786,372,26.31
WALM052,1447,1815,368,25.43
WALM090,1747,2181,434,24.84
WALM009,4909,5933,1024,20.86
WALM023,1133,1366,233,20.56
WALM034,973,1131,158,16.24
WALM022,1658,1890,232,13.99
WALM095,1495,1699,204,13.65
WALM065,4134,4681,547,13.23
WALM099,3283,3712,429,13.07
WALM024,1202,1349,147,12.23
WALM006,1882,2088,206,10.95
WALM074,4658,5125,467,10.03
WALM056,3474,3730,256,7.37
WALM050,4208,4499,291,6.92
WALM013,1034,1094,60,5.8
WALM067,1964,2046,82,4.18
WALM055,4666,4860,194,4.16
WALM091,2303,2394,91,3.95
WALM032,3800,3833,33,0.87
WALM069,5433,5414,-19,-0.35
WALM019,1532,1522,-10,-0.65
WALM003,4822,4741,-81,-1.68
WALM100,1604,1566,-38,-2.37
WALM098,1057,1030,-27,-2.55
WALM048,1592,1546,-46,-2.89
WALM031,1021,983,-38,-3.72
WALM044,1714,1629,-85,-4.96
WALM051,1634,1536,-98,-6
WALM087,4318,4005,-313,-7.25
WALM058,5885,5405,-480,-8.16
WALM030,4567,4130,-437,-9.57
WALM061,1758,1585,-173,-9.84
WALM053,1470,1319,-151,-10.27
WALM089,5291,4744,-547,-10.34
WALM083,1837,1645,-192,-10.45
WALM073,4287,3777,-510,-11.9
WALM086,4010,3427,-583,-14.54
WALM075,5179,4411,-768,-14.83
WALM084,4739,4011,-728,-15.36
WALM094,1575,1323,-252,-16
WALM076,1827,1520,-307,-16.8
WALM054,5585,4631,-954,-17.08
WALM001,1814,1463,-351,-19.35
WALM080,2067,1641,-426,-20.61
WALM066,2321,1836,-485,-20.9
WALM025,3946,3028,-918,-23.26
WALM064,1279,980,-299,-23.38
WALM029,5031,3750,-1281,-25.46
WALM042,1792,1328,-464,-25.89
WALM078,1951,1421,-530,-27.17
WALM062,1930,1396,-534,-27.67
WALM036,2042,1419,-623,-30.51
WALM047,1659,1069,-590,-35.56
WALM020,1747,1083,-664,-38.01
WALM046,5730,3528,-2202,-38.43
WALM085,1929,1179,-750,-38.88
WALM045,1061,647,-414,-39.02
WALM088,1905,1126,-779,-40.89
WALM043,2553,1470,-1083,-42.42
WALM059,1984,1123,-861,-43.4
WALM097,1460,814,-646,-44.25
WALM041,2212,1231,-981,-44.35
WALM004,1814,958,-856,-47.19
WALM081,1897,850,-1047,-55.19
