branch,shift,number_of_transactions
WALM001,Evening,39
WALM001,Afternoon,27
WALM001,Morning,8
WALM002,Evening,27
WALM002,Afternoon,23
WALM002,Morning,15
WALM003,Afternoon,71
WALM003,Evening,65
WALM003,Morning,50
WALM004,Evening,26
WALM004,Afternoon,25
WALM004,Morning,9
WALM005,Evening,49
WALM005,Afternoon,20
WALM005,Morning,15
WALM006,Evening,38
WALM006,Afternoon,26
WALM006,Morning,7
WALM007,Evening,40
WALM007,Afternoon,20
WALM007,Morning,10
WALM008,Evening,36
WALM008,Afternoon,23
WALM008,Morning,9
WALM009,Evening,103
WALM009,Afternoon,83
WALM009,Morning,49
WALM010,Evening,33
WALM010,Afternoon,26
WALM010,Morning,7
WALM011,Afternoon,30
WALM011,Evening,29
WALM011,Morning,9
WALM012,Evening,43
WALM012,Afternoon,26
WALM012,Morning,11
WALM013,Evening,23
WALM013,Afternoon,21
WALM013,Morning,13
WALM014,Evening,29
WALM014,Afternoon,14
WALM014,Morning,9
WALM015,Evening,41
WALM015,Afternoon,24
WALM015,Morning,22
WALM016,Evening,33
WALM016,Afternoon,30
WALM016,Morning,7
WALM017,Evening,37
WALM017,Afternoon,25
WALM017,Morning,14
WALM018,Evening,31
WALM018,Afternoon,22
WALM018,Morning,11
WALM019,Afternoon,31
WALM019,Evening,31
WALM019,Morning,9
WALM020,Evening,37
WALM020,Afternoon,29
WALM020,Morning,10
WALM021,Evening,32
WALM021,Afternoon,22
WALM021,Morning,11
WALM022,Evening,36
WALM022,Afternoon,29
WALM022,Morning,10
WALM023,Evening,38
WALM023,Afternoon,22
WALM023,Morning,10
WALM024,Evening,29
WALM024,Afternoon,22
WALM024,Morning,14
WALM025,Afternoon,64
WALM025,Evening,51
WALM025,Morning,45
WALM026,Evening,32
WALM026,Afternoon,28
WALM026,Morning,13
WALM027,Evening,41
WALM027,Afternoon,18
WALM027,Morning,13
WALM028,Evening,43
WALM028,Afternoon,16
WALM028,Morning,11
WALM029,Afternoon,81
WALM029,Evening,63
WALM029,Morning,52
WALM030,Evening,106
WALM030,Afternoon,75
WALM030,Morning,48
WALM031,Evening,32
WALM031,Afternoon,15
WALM031,Morning,9
WALM032,Evening,70
WALM032,Afternoon,55
WALM032,Morning,45
WALM033,Evening,30
WALM033,Afternoon,14
WALM033,Morning,13
WALM034,Evening,33
WALM034,Afternoon,13
WALM034,Morning,10
WALM035,Afternoon,68
WALM035,Evening,65
WALM035,Morning,40
WALM036,Evening,35
WALM036,Afternoon,23
WALM036,Morning,15
WALM037,Evening,34
WALM037,Afternoon,20
WALM037,Morning,12
WALM038,Afternoon,83
WALM038,Evening,59
WALM038,Morning,47
WALM039,Evening,30
WALM039,Afternoon,22
WALM039,Morning,7
WALM040,Evening,30
WALM040,Afternoon,23
WALM040,Morning,16
WALM041,Evening,33
WALM041,Afternoon,26
WALM041,Morning,8
WALM042,Evening,32
WALM042,Afternoon,18
WALM042,Morning,14
WALM043,Evening,40
WALM043,Afternoon,24
WALM043,Morning,16
WALM044,Evening,31
WALM044,Afternoon,24
WALM044,Morning,15
WALM045,Afternoon,36
WALM045,Evening,23
WALM045,Morning,7
WALM046,Afternoon,76
WALM046,Evening,74
WALM046,Morning,41
WALM047,Evening,39
WALM047,Afternoon,24
WALM047,Morning,18
WALM048,Evening,44
WALM048,Afternoon,23
WALM048,Morning,12
WALM049,Evening,36
WALM049,Afternoon,21
WALM049,Morning,14
WALM050,Afternoon,63
WALM050,Evening,50
WALM050,Morning,38
WALM051,Evening,41
WALM051,Afternoon,22
WALM051,Morning,5
WALM052,Evening,36
WALM052,Afternoon,29
WALM052,Morning,14
WALM053,Evening,37
WALM053,Afternoon,22
WALM053,Morning,15
WALM054,Afternoon,62
WALM054,Evening,58
WALM054,Morning,55
WALM055,Evening,74
WALM055,Afternoon,68
WALM055,Morning,44
WALM056,Evening,61
WALM056,Afternoon,59
WALM056,Morning,49
WALM057,Evening,33
WALM057,Afternoon,22
WALM057,Morning,16
WALM058,Afternoon,95
WALM058,Evening,90
WALM058,Morning,54
WALM059,Evening,37
WALM059,Afternoon,25
WALM059,Morning,17
WALM060,Evening,42
WALM060,Afternoon,23
WALM060,Morning,14
WALM061,Evening,34
WALM061,Afternoon,25
WALM061,Morning,10
WALM062,Evening,36
WALM062,Afternoon,27
WALM062,Morning,12
WALM063,Evening,29
WALM063,Afternoon,28
WALM063,Morning,24
WALM064,Evening,31
WALM064,Afternoon,20
WALM064,Morning,13
