Branch,City,category,total_profit,total_revenue,profit_pct
WALM067,"Haltom City","Home and lifestyle",1680.04,5091.04,33
WALM064,Bedford,"Health and beauty",674.16,2042.92,33
WALM088,Cleburne,"Electronic accessories",697.76,2114.41,33
WALM100,Canyon,"Home and lifestyle",658.19,3656.6,18
WALM066,Grapevine,"Health and beauty",23.93,72.52,33
WALM065,"Texas City","Food and beverages",122.39,370.89,33
WALM061,"Cedar Park","Sports and travel",169.35,513.18,33
WALM088,Cleburne,"Health and beauty",482.24,1461.33,33
WALM083,"Farmers Branch","Home and lifestyle",1233.34,3737.4,33
WALM067,"Haltom City","Electronic accessories",316.57,959.31,33
WALM001,Houston,"Home and lifestyle",1734.87,4819.08,36
WALM072,Lancaster,"Fashion accessories",1229.86,3726.84,33
WALM075,"San Marcos","Health and beauty",315.26,955.33,33
WALM076,Huntsville,"Fashion accessories",1324.49,4013.61,33
WALM098,"Mineral Wells","Sports and travel",174.67,970.41,18
WALM096,"Eagle Pass","Health and beauty",34.77,193.16,18
WALM095,"Big Spring","Sports and travel",420.24,1273.46,33
WALM070,Hurst,"Electronic accessories",280.08,848.72,33
WALM070,Hurst,"Health and beauty",445.05,1348.63,33
WALM088,Cleburne,"Home and lifestyle",957.34,2901.02,33
WALM079,"La Porte","Sports and travel",467.34,1416.17,33
WALM056,Rowlett,"Electronic accessories",636.42,1928.54,33
WALM058,"Port Arthur","Health and beauty",191.65,580.77,33
WALM063,Georgetown,"Electronic accessories",208.04,630.42,33
WALM089,Southlake,"Food and beverages",338.28,1025.08,33
WALM093,Angleton,"Food and beverages",161.38,489.03,33
WALM066,Grapevine,"Home and lifestyle",2427.55,7356.22,33
WALM078,"Del Rio","Home and lifestyle",1535.4,4652.72,33
WALM069,Rockwall,"Sports and travel",410.55,1244.09,33
WALM087,Waxahachie,"Health and beauty",525.71,1593.07,33
WALM096,"Eagle Pass","Food and beverages",178.53,991.86,18
WALM083,"Farmers Branch","Electronic accessories",520.45,1577.11,33
WALM072,Lancaster,"Home and lifestyle",945.84,2866.19,33
WALM058,"Port Arthur","Fashion accessories",3958.11,11994.28,33
WALM094,Alamo,"Fashion accessories",815.13,2470.09,33
WALM063,Georgetown,"Food and beverages",335.06,1015.33,33
WALM071,Lufkin,"Health and beauty",333.95,1011.96,33
WALM061,"Cedar Park","Health and beauty",196.4,595.14,33
WALM090,Brownwood,"Food and beverages",541.65,1641.36,33
WALM061,"Cedar Park","Food and beverages",225.12,682.19,33
WALM097,Alice,"Sports and travel",83.92,466.25,18
WALM095,"Big Spring","Home and lifestyle",1441.88,4369.32,33
WALM065,"Texas City","Health and beauty",507.75,1538.64,33
WALM096,"Eagle Pass","Electronic accessories",26.4,146.65,18
WALM075,"San Marcos","Fashion accessories",2850.92,8639.15,33
WALM057,Euless,"Fashion accessories",1687.53,5113.72,33
WALM078,"Del Rio","Health and beauty",70.11,212.45,33
WALM055,Waxahachie,"Electronic accessories",709.61,2150.32,33
WALM087,Waxahachie,"Fashion accessories",2255.9,6836.06,33
WALM071,Lufkin,"Fashion accessories",1127.04,3415.28,33
WALM071,Lufkin,"Home and lifestyle",779.63,2362.52,33
WALM085,Kerrville,"Sports and travel",593.74,1799.2,33
WALM061,"Cedar Park","Home and lifestyle",1619.34,4907.08,33
WALM088,Cleburne,"Fashion accessories",1465.78,4441.76,33
